channel,energy_keV,raw_counts,background_adjusted_counts,background_adjusted_unc,efficiency,final_corrected_counts,final_corrected_unc
159,77.74409635509998,1325.0,1322.0625,36.401390054730975,0.0005939304196653252,2225955.189742548,61288.98074498837
160,78.24371776,1294.0,1290.75,35.97315260487095,0.0006016484853308088,2145355.6876991014,59790.980085475596
161,78.74333929909999,1313.0,1309.4166666666667,36.236371959369464,0.0006091841434747463,2149459.536484059,59483.445765150056
162,79.2429609724,1325.0,1322.2083333333333,36.40134832286055,0.0006165415877876105,2144556.603355708,59041.18885715829
163,79.74258277989999,1366.0,1362.375,36.96045888288365,0.0006237249001061471,2184256.2318229517,59257.629247435245
164,80.24220472159999,1333.0,1329.9791666666667,36.51113438429129,0.0006309466861281841,2107910.5349266645,57867.225848102215
165,80.7418267975,1453.0,1449.3333333333333,38.11923909115827,0.000638230203877196,2270862.9653199622,59726.473080695694
166,81.2414490076,1374.0,1370.7708333333333,37.06841343118903,0.0006453593639152306,2124042.680681375,57438.40641949382
167,81.74107135189999,1405.0,1400.625,37.484545426526566,0.0006523374806627351,2147086.502797678,57461.89133337019
168,82.24069383039999,1407.0,1402.6041666666667,37.511219386486374,0.0006591677840512779,2127840.893628314,56906.93673762477
169,82.7403164431,1428.0,1421.8333333333333,37.79058708491074,0.0006658534220808266,2135354.848654273,56755.114311514975
170,83.23993919,1769.0,1764.3125,42.060642603864245,0.0006723974632871223,2623913.0816688044,62553.24402659712
171,83.7395620711,2007.0,2003.25,44.80042550021149,0.00067880289912204,2951151.214278832,65999.16641215899
172,84.2391850864,2052.0,2048.7083333333335,45.29976353568403,0.0006850726462508786,2990497.9341170215,66124.02901150855
173,84.73880823590001,1770.0,1765.9375,42.07237377919942,0.0006912095487698852,2554851.1347141545,60867.75544995543
174,85.23843151959998,1573.0,1568.5,39.662245902117036,0.0006972163803470325,2249660.2836830867,56886.566380404816
175,85.7380549375,1553.0,1549.1041666666667,39.40915075454487,0.0007030958462891175,2203261.7243334777,56050.894003346984
176,86.23767848959999,1621.0,1617.5208333333333,40.26254441337369,0.0007088505855382723,2281892.497986799,56799.76180424532
177,86.7373021759,1566.0,1562.5625,39.5736227123994,0.000714483172600413,2186982.9268517843,55387.76031402999
178,87.23692599639999,1562.0,1558.8333333333333,39.522980305415004,0.00071999611940839,2165057.9653320955,54893.32406109417
179,87.73654995109999,1411.0,1407.125,37.56435450219618,0.0007253918771223714,1939813.5606123176,51784.91197228996
180,88.23617404,1396.0,1392.75,37.3639894595496,0.0007306728378699816,1906119.8498360363,51136.41499042321
181,88.7357982631,1385.0,1381.7916666666667,37.216486135552586,0.0007358413364281772,1877839.145832681,50576.78101668477
182,89.2354226204,1363.0,1359.7916666666667,36.91973510573685,0.0007408996518495131,1835325.0177297413,49830.95215873546
183,89.7350471119,1330.0,1326.4375,36.470182598254155,0.0007458500090346771,1778423.9242910962,48897.4755734816
184,90.2346717376,1424.0,1420.0833333333333,37.737005673770966,0.0007506945802531983,1891692.5347381085,50269.45267280713
185,90.7342964975,1339.0,1335.1041666666667,36.59345792890369,0.000755435486614674,1767330.487279141,48440.21571304469
186,91.2339213916,1329.0,1325.6041666666667,36.456422568976485,0.0007600747994918892,1744044.3592562662,47964.256403906096
187,91.7335464199,1410.0,1406.2916666666667,37.55099541882271,0.0007646145418981438,1839216.4804707603,49111.01393076169
188,92.2331715824,1342.0,1338.3958333333333,36.634342996777704,0.0007690566898198358,1740308.4207574797,47635.42594676591
189,92.7327968791,1350.0,1346.3125,36.74339155435528,0.0007734031735067209,1740764.1268080478,47508.715781130646
190,93.23242230999999,1386.0,1382.2708333333333,37.2300643428429,0.0007776558787206143,1777483.937506421,47874.72886348284
191,93.7320478751,1409.0,1405.7291666666667,37.53755642501402,0.0007818166479447486,1798029.2059040554,48013.247765564105
192,94.23167357439999,1442.0,1438.3958333333333,37.974663748419886,0.0007858872815546941,1830282.6207949359,48320.7511302332
193,94.7312994079,1432.0,1428.7916666666667,37.842659001156065,0.0007898695389525551,1808895.768485243,47910.01188796211
