Efficiencies for file,,,,C1,C2,C3,C4,A,T1,DI,DL,Error
N:\EffCalCurrent\South sm vl 0.5ml 25cm.ANH,,,,-20.2569,10.2872,-1.65505,0.0866563,0.00347696,1000,1.39,700,0.00458934

 
Energy, Efficiency, MuWin, MuGe 
310,0.115624,0.602204,0.600798
311,0.115396,0.600798,0.599403
312,0.115168,0.599403,0.59802
313,0.114941,0.59802,0.596647
314,0.114714,0.596647,0.595285
315,0.114489,0.595285,0.593935
316,0.114263,0.593935,0.592594
317,0.114039,0.592594,0.591265
318,0.113815,0.591265,0.589945
319,0.113592,0.589945,0.588636
320,0.113369,0.588636,0.587337
321,0.113147,0.587337,0.586048
322,0.112926,0.586048,0.584768
323,0.112705,0.584768,0.583498
324,0.112485,0.583498,0.582238
325,0.112265,0.582238,0.580988
326,0.112047,0.580988,0.579746
327,0.111828,0.579746,0.578514
328,0.111611,0.578514,0.577291
329,0.111394,0.577291,0.576077
330,0.111178,0.576077,0.574871
331,0.110962,0.574871,0.573675
332,0.110747,0.573675,0.572487
333,0.110532,0.572487,0.571307
334,0.110318,0.571307,0.570136
335,0.110105,0.570136,0.568973
336,0.109893,0.568973,0.567819
337,0.109681,0.567819,0.566672
338,0.109469,0.566672,0.565534
339,0.109258,0.565534,0.564403
340,0.109048,0.564403,0.563281
341,0.108839,0.563281,0.562166
342,0.10863,0.562166,0.561058
343,0.108421,0.561058,0.559958
344,0.108214,0.559958,0.558866
345,0.108006,0.558866,0.557781
346,0.1078,0.557781,0.556703
347,0.107594,0.556703,0.555632
348,0.107389,0.555632,0.554569
349,0.107184,0.554569,0.553512
350,0.10698,0.553512,0.552463
351,0.106776,0.552463,0.55142
352,0.106573,0.55142,0.550384
353,0.106371,0.550384,0.549355
354,0.106169,0.549355,0.548332
355,0.105968,0.548332,0.547316
356,0.105767,0.547316,0.546306
357,0.105567,0.546306,0.545303
358,0.105368,0.545303,0.544306
359,0.105169,0.544306,0.543315
360,0.10497,0.543315,0.542331
361,0.104773,0.542331,0.541353
362,0.104575,0.541353,0.54038
363,0.104379,0.54038,0.539414
364,0.104183,0.539414,0.538453
365,0.103987,0.538453,0.537499
366,0.103793,0.537499,0.53655
367,0.103598,0.53655,0.535607
368,0.103404,0.535607,0.534669
369,0.103211,0.534669,0.533737
370,0.103019,0.533737,0.532811
371,0.102827,0.532811,0.53189
372,0.102635,0.53189,0.530975
373,0.102444,0.530975,0.530065
374,0.102254,0.530065,0.52916
375,0.102064,0.52916,0.52826
376,0.101875,0.52826,0.527366
